
Subjects incorporated to date: 025
Data file started on machine PL_LABXP1

**********************************************************************
Subject 16, 04/21/2009 15:16:36 on PL_LABXP3, refresh 9.99ms, ID LS
  Item       RT
  1010    369.58
  1011    279.79
  1012    195.92
  1013    314.21
  1014    329.62
  1251   1677.58
121000    249.72
121001    286.47
121002    229.74
121003    274.40
121004    278.57
121005    582.40
121006    271.20
121007    228.68
121008    349.25
121009    342.23
121010    323.26
121011    214.08
121012    201.81
121013    202.73
121014    193.79
121015    229.10
121251   1212.78
113000    289.70
113001    194.95
113002    240.84
113003    307.27
113004    274.75
113005    277.03
113006    269.69
113007    241.53
113008    228.78
113009    258.45
113010    269.69
113011    243.10
113012    314.29
114000    444.39
114001    209.77
114002    653.49
114003    359.56
114004    315.64
114005    332.66
114006    419.50
114007    325.55
114008    259.18
114009    293.15
114010    311.78
114011    287.03
114012    304.56
114013    279.96
114014    276.30
 10000    382.86
 10001    300.83
 10002    319.91
 10003    308.78
 10004    216.59
 10005    280.90
 10006    360.78
 10007    500.32
 10008    409.81
 10009    245.85
 10010    267.28
 10011    479.72
 10012    444.22
 10013    288.28
 10014    422.09
 10015    499.69
 10016    278.64
 10251   1235.09
126000    243.33
126001    302.80
126002    490.01
126003    305.03
126004    316.34
126005    429.78
126006    298.73
126007    280.89
126008    341.47
126009    344.37
126010    260.08
126011    247.01
126012    336.87
126251   1063.18
 21000    378.85
 21001    456.86
 21002    344.73
 21003    180.10
 21004    224.83
 21005    293.57
 21006    387.14
 21007    270.81
 21008    324.95
 21009    289.96
 21010    260.00
 21011    323.32
 21012    246.30
 21013    267.73
 21014    426.48
111000    293.40
111001    272.80
111002    232.04
111003    274.10
111004    309.94
111005    260.00
111006    283.54
111007    247.43
111008    215.06
111009    341.64
111010    238.34
111011    194.48
111012    309.92
111013    194.23
111014    210.05
111251  -1634.16
128000    431.30
128001    219.25
128002    485.47
128003    234.01
128004    350.70
128005    582.76
128006    190.09
128007    233.47
128008    178.86
128009    366.20
128010    290.38
128011    220.05
128012    340.48
128013    258.26
128014    220.05
128251    959.48
  3000    273.68
  3001    260.00
  3002    255.77
  3003    230.33
  3004    199.46
  3005    173.18
  3006    369.86
  3007    220.05
  3008    319.91
  3009    296.71
  3010    261.59
  3011    230.02
  3012    259.83
  3013    426.23
133000    464.03
133001    363.38
133002    301.19
133003    421.28
133004    323.89
133005    170.80
133006    319.92
133007    409.91
133008    527.08
133009    272.88
133010    375.64
133011    253.49
133012    296.46
133251  -1013.02
 11000    559.61
 11001    420.02
 11002    269.99
 11003    390.45
 11004    354.06
 11005    280.51
 11006    399.82
 11007    278.13
 11008    305.80
 11009    399.14
 11010    326.42
 11011    319.93
 11012    252.37
 11013    289.97
  7000    334.11
  7001    255.79
  7002    282.96
  7003    266.51
  7004    235.74
  7005    410.70
  7006    290.89
  7007    319.93
  7008    383.67
  7009    393.11
  7010    443.43
  7011    341.28
  7012    284.54
  7013    272.96
134000    329.78
134001    279.98
134002    299.95
134003    309.93
134004    336.40
134005    282.73
134006    269.99
134007    298.64
134008    379.85
134009    339.88
134010    340.32
134011    293.44
134012    251.17
134013    288.08
134014    241.16
134251   1150.21
 24000    273.24
 24001    261.77
 24002    376.40
 24003    238.70
 24004    170.57
 24005    335.32
 24006    325.75
 24007    313.10
 24008    354.45
 24009    709.41
 24010    450.07
 24011    319.92
 24012    468.14
 24013    359.87
 24014    235.22
 24015    406.19
 16000    353.57
 16001    289.96
 16002    373.25
 16003    372.27
 16004    309.94
 16005    503.66
 16006    608.18
 16007    292.62
 16008    331.49
 16009    362.77
 16010    375.66
 16011    365.66
 16012    373.77
 14000    362.58
 14001    240.94
 14002    346.57
 14003    264.22
 14004    184.63
 14005    260.00
 14006    400.33
 14007    261.13
 14008    269.99
 14009    405.62
 14010    250.01
 14011    237.67
 14012    222.22
 14013    214.89
 14014    289.95
 14015    344.44
 14251   -913.52
 23000    479.74
 23001    414.78
 23002    440.35
 23003    265.09
 23004    264.68
 23005    352.95
 23006    462.77
 23007    619.53
 23008   1045.17
 23009    296.93
 23010    339.89
 23011    381.47
 23012    446.56
 23013    329.91
 23014    251.56
 23015    488.86
 23251  -1285.09
131000    721.24
131001    275.00
131002    242.19
131003    260.00
131004    322.98
131005    269.63
131006    226.08
131007    199.96
131008    329.92
131009    242.82
131010    229.10
131011    346.68
131012    227.21
131013    243.32
131014    216.17
131015    264.60
131251    751.27
  9000    257.75
  9001    225.47
  9002    317.65
  9003    265.58
  9004    236.67
  9005    224.15
  9006    488.20
  9007    195.49
  9008    589.09
  9009    441.94
  9010    415.11
  9011    224.54
  9012    289.95
 13000    494.34
 13001    359.87
 13002    388.44
 13003    293.18
 13004    261.00
 13005    369.88
 13006    689.48
 13007    352.42
 13008    260.00
 13009    389.83
 13010    430.55
 13011    332.66
 13012    289.95
 13013    439.77
 13251   -918.33
 18000    415.53
 18001    304.29
 18002    332.94
 18003    259.99
 18004    264.22
 18005    699.43
 18006    786.81
 18007    788.51
 18008    264.80
 18009    391.36
 18010    301.52
 18011    277.67
 18012    369.84
 18013    241.02
 18014    240.22
 18015    339.88
  4000    327.90
  4001    371.08
  4002    282.11
  4003    285.16
  4004    232.15
  4005    317.49
  4006    273.92
  4007    325.99
  4008    475.51
  4009    781.76
  4010    240.32
  4011    514.35
  4012    210.06
  4013    252.54
  4014    200.08
  4251   1197.64
 15000    385.34
!  Display error at msec 740273.39, tick 74113 in item 15001, frame "The ------ -- --- ---- --- --- ------- ---- --- ----- ------ --- ------."
!    was blocked by Flip() not returning for 14.95ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 14.84ms late
 15001    255.90
 15002    329.93
 15003    299.68
 15004    287.78
 15005    413.78
 15006    256.64
 15007    241.71
 15008    241.66
 15009    266.99
 15010    342.75
 15011    349.88
 15012    390.63
 15013    309.43
 15014    447.57
 15251   1825.76
123000    167.50
123001    240.61
123002    393.98
123003    231.52
123004    320.68
123005    231.50
123006    264.10
123007    324.29
123008    265.81
123009    223.33
123010    235.44
123011    235.69
123012    270.93
123013    279.98
123014    258.82
123015    763.30
125000    333.18
125001    238.36
125002    260.77
125003    272.21
125004    260.97
125005    272.18
125006    236.31
125007    200.08
125008    302.51
125009    257.19
125010    249.66
125011    292.64
125012    239.64
125013    289.71
125014    229.74
125015    319.97
125251   2151.11
  5000    243.59
  5001    220.19
  5002    299.64
  5003    283.00
  5004    209.89
  5005    181.08
  5006    326.21
  5007    247.22
