
Subjects incorporated to date: 019
Data file started on machine PL_LABXP4

**********************************************************************
Subject 1, 04/21/2009 10:56:15 on PL_LABXP4, refresh 9.99ms, ID JR
  Item       RT
 25012    201.07
 25013    194.93
 25251   1292.27
 29000    370.12
 29001    136.81
 29002    151.82
 29003    368.05
 29004    510.69
 29005    200.08
 29006    194.95
 29007    226.20
 29008    293.06
 29009    212.51
 29010    207.56
 29011    291.32
 29012    241.35
 29013    212.08
 29014    240.92
 29015    244.02
 29016    204.99
 46000    455.40
 46001    184.19
 46002    156.09
 46003    135.58
 46004    198.29
 46005    412.00
 46006    177.72
 46007    494.29
 46008    191.06
 46009    189.17
 46010    222.60
 46011    232.00
 46012    225.34
 46013    211.08
 46014    192.17
 35000    429.78
 35001    211.72
 35002    239.99
 35003    284.99
 35004    204.82
 35005    272.94
 35006    386.25
 35007    214.27
 35008    191.33
 35009    171.88
 35010    236.86
 35011    212.48
 35012    230.04
 35013    305.27
 35251   1404.07
 53000    376.94
 53001    172.17
 53002    143.40
 53003    273.48
 53004    177.97
 53005    610.10
 53006    296.49
 53007    464.26
 53008    489.69
 53009    237.29
 53010    253.84
 53011    226.00
 53012    243.98
 53013    185.33
 53014    170.03
 53015    519.45
 47000    319.92
 47001    160.16
 47002    167.70
 47003    186.11
 47004    136.53
 47005    442.40
 47006    145.77
 47007    213.12
 47008    182.49
 47009    374.25
 47010    296.03
 47011    246.12
 47012    249.71
 47013    368.95
 32000    361.74
 32001    188.12
 32002    250.04
 32003   1108.97
 32004    309.62
 32005    409.28
 32006    321.95
 32007    209.81
 32008    167.31
 32009    180.88
 32010    198.70
 32011    249.72
 32012    179.81
 32013    296.41
 32014    435.94
 43000    420.69
 43001    202.86
 43002    286.61
 43003    330.67
 43004    381.24
 43005    329.75
 43006    319.63
 43007    275.99
 43008    300.44
 43009    328.42
 43010    252.43
 43011    357.47
 43012    247.41
 43013    378.11
 56000    431.28
 56001    210.22
 56002    415.14
 56003    236.64
 56004    258.36
 56005    239.73
 56006    223.89
 56007    259.71
 56008    247.95
 56009    304.10
 56010    376.91
 56011    234.41
 56012    233.59
 56013    273.94
 56014    270.14
 56015    313.57
 56016   1068.67
 28000    452.61
 28001    312.15
 28002    363.48
 28003    217.29
 28004    204.24
 28005    229.39
 28006    229.77
 28007    380.32
 28008    361.52
 28009    225.31
 28010    197.96
 28011    207.89
 28012    231.94
 28013    221.27
 28014    271.68
 28015    244.66
 28016    451.54
 48000    459.45
 48001    209.77
 48002    209.75
 48003    219.75
 48004    484.33
 48005    217.24
 48006    234.53
 48007    258.05
 48008    474.54
 48009    265.06
 48010    494.10
 48011    242.42
 48012    251.05
 48013    241.32
 48014    236.54
 48251   2361.50
 69000    514.54
 69001    245.46
 69002    210.35
 69003    249.72
 69004    249.87
 69005    259.70
 69006    214.00
 69007    399.52
 69008    231.32
 69009    259.80
 69010    432.98
 69011    294.99
 69012    248.90
 69013    221.42
 69014    252.08
 69015    439.31
 69251   1418.20
 72000    359.58
 72001    234.86
 72002    186.21
 72003    180.66
 72004    184.09
 72005    199.78
 72006    483.26
 72007    189.91
 72008    197.70
 72009    343.12
 72010    504.95
 72011    263.10
 72012    302.06
 72013    306.43
 72014   1040.10
 72015    244.97
 72016    375.93
 72251   1255.53
 41000    342.82
 41001    250.68
 41002    184.97
 41003    208.56
 41004    319.75
 41005    245.56
 41006    291.48
 41007    393.73
 41008    227.48
 41009    229.91
 41010    283.82
 41011    239.72
 41012    234.38
 41013    269.69
 41014    228.86
 41015    523.14
 45000    399.53
 45001    211.91
 45002    210.57
 45003    199.78
 45004    216.01
 45005    237.02
 45006    252.82
 45007    199.81
 45008    199.78
 45009    222.05
 45010    218.45
 45011    420.45
 45251   1587.99
